Tibetan	Description
དམྱལ་བ་བརྒྱད་	The eight layers of hell according to the Kalachakra Tantra ༼m1༽ Pebbles ( གསེག་མ ) ༼m2༽ Sand ( བྱེ་མ ) ༼m3༽ Swamp ( འདམ་ཆུ ) ༼m4༽ Smoke ( དུ་བ ) ༼m5༽ Fire ( མེ ) ༼m6༽ Great darkness ( མུན་པ་ཆེ ) ༼m7༽ Great wailing ( ངུ་འདུད་ཆེ ) [e:The eight layers of hell according to the Kalachakra Tantra   ༼m1༽ Pebbles ( གསེག་མ )   ༼m2༽ Sand ( བྱེ་མ )   ༼m3༽ Swamp ( འདམ་ཆུ )   ༼m4༽ Smoke ( དུ་བ )   ༼m5༽ Fire ( མེ )   ༼m6༽ Great darkness ( མུན་པ་ཆེ )   ༼m7༽ Great wailing ( ངུ་འདུད་ཆེ )   ༼m8༽ Vajra like flames ( རྡོ་རྗེ་མེ་ལྕེ )     
དམར་ཐབ་	Offending the plague-causing demons by accidently burning blood, meat and animal hair in the stove [e:Offending the plague-causing demons by accidently burning blood, meat and animal hair in the stove  
དམར་ཕྱོགས་	༼grm=lit༽ Red direction It is a period after the full moon to the new moon i.e. 16th to 30th of Tibetan Lunar calendar [e:༼grm=lit༽ Red direction It is a period after the full moon to the new moon i.e. 16th to 30th of Tibetan Lunar calendar  
དམིགས་པའི་རྐྱེན་	Objective condition [e:Objective condition     
དམིགས་པའི་ཡུལ་	Objective object [e:Objective object  
དམུ་ཆུ་	jalodara Dropsy of the internal organs [e:Dropsy of the internal organs (Ascites), ༼sk= jalodara༽ It arises when excessive food with cool potency and excessive cold beverage are consumed.  
རྨ་	Wounds, sore [e:Wounds, sore     
རྨ་རྒན་	Chronic wounds [e:Chronic wounds  
རྨ་བྱ་	Peacock [e:Peacock (Pavo cristatus)     
རྨ་བྱའི་མདོངས་	Decorative feathers of a peacock [e:Decorative feathers of a peacock  
རྨ་རས་	Sterile gauze [e:Sterile gauze  
རྨང་གཞི་	Base, foundation, [e:Base, foundation,  
རྨི་ལམ་	Dreams [e:Dreams     
རྨི་ལམ་སྐབས་ཀྱི་ཐིག་ལེ་	The drop arising in the dream [e:The drop arising in the dream  
རྨིག་པ་	Hoof [e:Hoof (of an animal)  
རྨིགས་པ་	Gecko lizard [e:Gecko lizard  
རྨེན་སྐྲན་	Cystoid tumour [e:Cystoid tumour  
རྨེན་བུ་	granthi Lymph node; nodule mass, [e:Lymph node; nodule mass, ༼sk= granthi༽  
རྨེན་བུའི་ནད་	Lymphadenopathy A disease which affects the lymph nodes and is characterised by swelling of the lymph nodes. It generally occurs near the ears, in the neck, arm pits and groin. [e:Lymphadenopathy A disease which affects the lymph nodes and is characterised by swelling of the lymph nodes. It generally occurs near the ears, in the neck, arm pits and groin.  
སྨག་	༼bot=༽ Metroxylum sago Rotth [e:༼bot=༽ Metroxylum sago Rotth Taste: Astringent Uses: It treats all kinds of diarrhoea.  
སྨན་ཁང་	Hospital, Clinic [e:Hospital, Clinic  
སྨན་གྱི་རྒྱལ་པོ་	King of medicine; refers to ཨ་རུ་ར City of medicine [e:King of medicine; refers to ཨ་རུ་ར City of medicine     
སྨན་གྱི་ནུས་པ་	Potency of medicines [e:Potency of medicines  
སྨན་གྱི་བླ་	Teacher of medicine [e:Teacher of medicine (The Medicine Buddha)  
སྨན་གྱི་རོ་	 [e:Taste of medicinal substances     
སྨན་སྒ་	༼bot=༽ Apilinia officinarum Hance [e:༼bot=༽ Apilinia officinarum Hance Taste: Hot to sweet Uses: It promotes digestive heat, aids digestion, improves appetite and remedies disorders of a བད་ཀན - རླུང nature.  
སྨན་སྒྲུབ་	Preparing 'spiritual medicines' [e:Preparing 'spiritual medicines'  
སྨན་ཆང་	Medicinal wine or chang [e:Medicinal wine or chang  
སྨན་ཆུ་	Medicinal water or boiled water with which to take medicines [e:Medicinal water or boiled water with which to take medicines  
སྨན་ཆེན་	Mitha teli ༼bot=༽ Aconitum ferox [e:༼sk= Mitha teli༽ ༼bot=༽ Aconitum ferox Taste: Sweet to hot Potency: Hot Uses: It is used to treat cardiac རླུང problems, fainting, dermatological diseases, loss of bodily heat, epilepsy and bacterial diseases.     
སྨན་རྟ་	Excipients (medicinal horse) The excipients [e:Excipients (medicinal horse) The excipients (something mixed with a medicine to make it more easier toadminister and more potent) ༼grm=lit༽ medicinal horses  
སྨན་རྟ་གསུམ་	The three excipients ༼m1༽ Sugar ( ཀ་ར ), ༼m2༽ Molasses ( བུ་རམ ); and [e:The three excipients   ༼m1༽ Sugar ( ཀ་ར ),   ༼m2༽ Molasses ( བུ་རམ ); and   ༼m3༽ Honey ( སྦྲང་རྩི ).  
སྨན་ཐུར་	Medicinal spoon A spoon used to measure the dose of decoction and powdered medicine [e:Medicinal spoon A spoon used to measure the dose of decoction and powdered medicine  
སྨན་ཐོ་	Prescription [e:Prescription  
སྨན་སྦྱོར་ཁང་	Pharmacy [e:Pharmacy  
སྨན་བླ་བདེ་གཤེགས་བརྒྱད་	The eight Buddhas of medicine ༼m1༽ མཚན་ལགས -good marks ༼m2༽ རིན་ཅབེན -ptecious ༼m3༽ གསེར་བཟང -superior gold ༼m4༽ མྱ་ནཡན་མེད -without sorrow ༼m5༽ ཆོས་སྒྲགས - d h a r m a expositor ༼m6༽ མངོན་ཁྱེན -knowledge perceptor ༼m7༽ སྨན་བླ -superior physician, and [e:The eight Buddhas of medicine   ༼m1༽ མཚན་ལགས -good marks   ༼m2༽ རིན་ཅབེན -ptecious   ༼m3༽ གསེར་བཟང -superior gold   ༼m4༽ མྱ་ནཡན་མེད -without sorrow   ༼m5༽ ཆོས་སྒྲགས - d h a r m a expositor   ༼m6༽ མངོན་ཁྱེན -knowledge perceptor   ༼m7༽ སྨན་བླ -superior physician, and   ༼m8༽ ཤ་ཀྱ་ཐུབ -Buddh a Shakyamuni སྨན་བླའི་དཀྱིལ་འཁོར Mandala of the Medicine Buddha སྨན་མར Tonic (medicinal butter)  
སྨན་ཚགས་	Medicinal sieve men sak Medicine file [e:Medicinal sieve men sak Medicine file  
སྨིན་དྲུག་	Krittika, Pleiades - one of the twenty seven constellations Syn. མང་པོ་སྐྱེས -grow many, མ་དྲུག་བུ -mother of six children [e:Krittika, Pleiades - one of the twenty seven constellations Syn. མང་པོ་སྐྱེས -grow many, མ་དྲུག་བུ -mother of six children  
སྨིན་པ་	To mature, to ripe [e:To mature, to ripe     
སྨིན་དབྲག་	Bone above the bridge of the nose [e:Bone above the bridge of the nose  
སྨིན་མ་	Eye brows སྨིན་ཟླ Kartik, tenth month of Tibetan astronomical system [e:Eye brows སྨིན་ཟླ Kartik, tenth month of Tibetan astronomical system     
སྨུག་	Clouded leopard [e:Clouded leopard (Neofelis nebulosa)  
སྨུག་པ་	Fog or mist [e:Fog or mist  
སྨུག་པོ་སྦལ་རྒྱབ་	༼en=༽ Hematite Scientific Name: Hematicum [e:༼en=༽ Hematite Scientific Name: Hematicum Taste: Sweet Potency: Neutral Uses: It treats fractured bones, serous fluids accumulation in the chest, brain disorders and wounds.  
སྨེ་བ་	 ༼m1༽ Moles [e:  ༼m1༽ Moles   ༼m2༽ Magic square numbers which is often used in Tibetan Elemental Astrology ( འབྱུང་རྩིས )     
སྨེ་བ་དགུ་	The nine སྨེ་བ or magic square numbers [e:The nine སྨེ་བ or magic square numbers  
སྨེ་བའི་གླིང་སྐོར་	The seats of the སྨེ་བ [e:The seats of the སྨེ་བ  
སྨྱུག་རྩ་	Bamboo shoot [e:Bamboo shoot Taste: Sweet to slightly sour Potency: Cool Uses: It is used to treat wound, fever of chest and limbs, inflammations, chronic fever, constipation and to prevent cancerous growth.  
སྨྱོ་ནད་	Mental disorder or insanity [e:Mental disorder or insanity  
སྨྱོ་བ་	Madness [e:Madness  
སྨྱོ་བྱེད་	unmada Insanity, [e:Insanity, ༼sk= unmada༽  
སྨྱོ་བྱེད་ཀྱི་གདོན་	Demons causing madness [e:Demons causing madness  
ཙ་བྱ་	It is a synonym of དབྱི་མོང་དཀར་པོ [e:It is a synonym of དབྱི་མོང་དཀར་པོ (Clematis rehderianum Craib.)  
ཙན་དན་དཀར་པོ་	Chandana ༼hn=༽ Safed Chandan ༼en=༽ White Sandalwood ༼bot=༽ Santalum album Linn Family: Santalaceae [e:༼sk= Chandana༽ ༼hn=༽ Safed Chandan ༼en=༽ White Sandalwood ༼bot=༽ Santalum album Linn Family: Santalaceae Taste: Astringent Potency: Cool Uses: It is recommended for pneumonitis, carditis, dermatitis, disturbed fever, inflammation of skin and helps in the elimination of physical odour.  
ཙན་དན་དམར་པོ་	Lai chandan ༼en=༽ Red sandalwood ༼bot=༽ Pterocarpus santalinus [e:༼sk= Lai chandan༽ ༼en=༽ Red sandalwood ༼bot=༽ Pterocarpus santalinus Taste: Astringent Potency: Cool Uses: It is used against blood infections, proliferation of impure blood, hypertension and helps to maintain a require blood temperature  
ཙམ་པ་ཀ་	Syonaka ༼bot=༽ Oroxylum Indicum Linn Vent [e:༼sk= Syonaka༽ ༼bot=༽ Oroxylum Indicum Linn Vent  
ཙི་ཏྲ་ཀ་	Katuvirah ༼hn=༽ Lai mirch ༼en=༽ Ceylon Leadwort ༼bot=༽ Capsicum frutescens [e:༼sk= Katuvirah༽ ༼hn=༽ Lai mirch ༼en=༽ Ceylon Leadwort ༼bot=༽ Capsicum frutescens Taste: Hot Potency: Warm Uses: It increases digestive heat, treats second stage of oedema, piles, bacterial diseases and leprosy.  
གཙུག་རྒྱན་	Crown ornament, headgears [e:Crown ornament, headgears  
གཙུག་ལག་	The sacred science [e:The sacred science (astrology and astronomy)  
གཙོ་བོ་	Predominance, principle, main, [e:Predominance, principle, main,  
གཙོ་སེམས་	Primary mind [e:Primary mind  
གཙོད་	Hodgson's antelope [e:Hodgson's antelope (Pantholaps hodgsoni Abe)  
བཙག་	Latin Name: Lateritum [e:Latin Name: Lateritum (a kind of rock) Taste: Sweet Potency: Cool Uses: It treats eye diseases, osteitis or bone fever, and dries up excess lymphatic fluid.  
བཙན་	Mountain dwelling spirits [e:Mountain dwelling spirits  
བཙན་དུག་	Vatsanabha-visa ༼en=༽ Aconite poisoning ༼bot=༽ Aconitum richardsonianum Lauener var crispulum W. T.Wang It is also known as སྨན་ཆེན། བོང་ང་ནག་པོ། གསོད་བྱེད། ཧ་ལ་ཧ་ལ། ར་དུག། འཟིན་པ etc. [e:༼sk= Vatsanabha-visa༽ ༼en=༽ Aconite poisoning ༼bot=༽ Aconitum richardsonianum Lauener var crispulum W. T.Wang It is also known as སྨན་ཆེན། བོང་ང་ནག་པོ། གསོད་བྱེད། ཧ་ལ་ཧ་ལ། ར་དུག། འཟིན་པ etc. Taste: Sweet Potency: Cool and highly poisonous Uses: It subsides pain associated with limbs, joints, muscle tissues, bones and is highly recommended against arthritis, inflammation of muscle tissues and throat.  
བཙའ་	 ༼m1༽ Rust [e:  ༼m1༽ Rust   ༼m2༽ Birth  
བཙིར་བ་	Squeeze [e:Squeeze  
བཙོང་	Piyaz ༼en=༽ Onion ༼bot=༽ Allium Cepa Linn [e:༼sk= Piyaz༽ ༼en=༽ Onion ༼bot=༽ Allium Cepa Linn Taste: Hot Potency: Warm Uses: Onion induces sleep, increases appetite, and eliminates rlung and bad-kan disorders. It is used as a stimulant, to promote flow of urine, menstrual flow, removal of mucus secretions from the bronchial tubes, to purify blood, soothes and protects alimentary tract and relieves inflammation. It is also used against tuberculosis, infectious venereal disease, typhoid fever, cough, diabetes, chest and lung problems, rheumatism, influenza, inflammed joints, skin disease, kidney and gallstones, liver problems, intermittent fever, asthama, nausea, constipation, insect ites, tumours, boils with pus, ulcers, nasal bleeding and arthritis. Garlic and onions may help fight prostate cancer. Researchers have found that men in China have the lowest rate of prostate cancer in the world, due to diet containing garlic and onion.  
བཙོད་	Manjith ༼bot=༽ Rubia Cordifolia [e:༼sk= Manjith༽ ༼bot=༽ Rubia Cordifolia Taste: Bitter Potency: Cool Uses: It is effective against blood disorders and fever of the lungs, kidneys, intestine and spreading fever.  
རྩ་	Channels This term refers to the nerves, veins and arteries. There are three types of major channels or རྩ . ༼m1༽ The white one ( རྩ་དཀར ) is related to the nerves and leads to the brain ༼m2༽ The black one ( རྩ་ནག ) refers to the veins and leads to the liver and the gall bladder [e:Channels This term refers to the nerves, veins and arteries. There are three types of major channels or རྩ .   ༼m1༽ The white one ( རྩ་དཀར ) is related to the nerves and leads to the brain   ༼m2༽ The black one ( རྩ་ནག ) refers to the veins and leads to the liver and the gall bladder   ༼m3༽ The red one ( རྩ་དམར ) refers to the arteries and leads to the heart.  
རྩ་དཀར་	Nerve disorder It may appear as hot or cold nature and it is generally characterised by headaches, pain in the upper back, awry mouth and eyes, numbness in the limbs, loss of function of limbs, loss of memory and speech, insomnia, loss of function of sense organs, itching and cannot tolerate louid noise. [e:Nerve disorder It may appear as hot or cold nature and it is generally characterised by headaches, pain in the upper back, awry mouth and eyes, numbness in the limbs, loss of function of limbs, loss of memory and speech, insomnia, loss of function of sense organs, itching and cannot tolerate louid noise.  
རྩ་འཁོར་	The Wheel of the Channels or chakras; it refers to the energy centres within the body [e:The Wheel of the Channels or chakras; it refers to the energy centres within the body  
རྩ་འཁོར་ལྔ་	The five Wheels of the channels 1. སྤྱི་བོ་བདེ་ཆེན་འཁོར་ལོ -Crown chakra in crown of the head 2. མགྲིན་པ་ལོངས་སྤྱོད་འཁོར་ལོ -Throat chakra in thoracic region 3. སྙིང་ག་ཆོས་ཀྱི་འཁོར་ལོ -Heart chakra in heart region 4. ལྟེ་བ་སྤྲུལ་བའི་འཁོར་ལོ -Navel chakra in the stomach region 5. གསང་གནས་བདེ་སྐྱོང་འཁོར་ལོ -Genitalia chakra in perineal region [e:The five Wheels of the channels 1. སྤྱི་བོ་བདེ་ཆེན་འཁོར་ལོ -Crown chakra in crown of the head 2. མགྲིན་པ་ལོངས་སྤྱོད་འཁོར་ལོ -Throat chakra in thoracic region 3. སྙིང་ག་ཆོས་ཀྱི་འཁོར་ལོ -Heart chakra in heart region 4. ལྟེ་བ་སྤྲུལ་བའི་འཁོར་ལོ -Navel chakra in the stomach region 5. གསང་གནས་བདེ་སྐྱོང་འཁོར་ལོ -Genitalia chakra in perineal region  
རྩ་མཁྲིས་	Lactuca Lessertiana [e:Lactuca Lessertiana  
རྩ་མཁྲིས་མཆོག་	༼bot=༽ Cicerbita Macrorhiza [e:༼bot=༽ Cicerbita Macrorhiza Taste: Bitter Potency: Cool Uses: It is useful in treating hot disorders of the gall bladder, jaundice and headache.  
རྩ་རྒྱུད་	The Root Tantra, the first of the four tantras containing six chapters [e:The Root Tantra, the first of the four tantras containing six chapters  
རྩ་ཆེན་	Blood letting femoral veins [e:Blood letting femoral veins (༼lv=lit༽ the great veins)  
རྩ་ཉོན་དྲུག་	The six root delusions or affictions: ༼m1༽ འདོད་ཆགས -attachment ༼m2༽ ཞེ་སྡང -hatred ༼m3༽ གཏི་མུག -ignorance ༼m4༽ ང་རྒྱལ - pride ༼m5༽ ཐེ་ཚོམ -douhts; and [e:The six root delusions or affictions:   ༼m1༽ འདོད་ཆགས -attachment   ༼m2༽ ཞེ་སྡང -hatred   ༼m3༽ གཏི་མུག -ignorance   ༼m4༽ ང་རྒྱལ - pride   ༼m5༽ ཐེ་ཚོམ -douhts; and   ༼m6༽ ལོག་ལྟ -wrong views  
རྩ་འདབ་	The branch channels It refers to [e:The branch channels It refers to   ༼m24༽ major channels and five hundreds minor channels which branch outward from the five major wheel of channels.  
རྩ་མདུད་	Varicose [e:Varicose (༼lv=lit༽ knot of veins)  
རྩ་ནད་བཅུ་དྲུག་	Sixteen nervous illnesses; these are illnesses associated with improper flow of menstruation caused when menstruation mixed with wind and serous fluids enters the nervous system, there are ten illnesses associated with agitated blood and six wind agitated natures [e:Sixteen nervous illnesses; these are illnesses associated with improper flow of menstruation caused when menstruation mixed with wind and serous fluids enters the nervous system, there are ten illnesses associated with agitated blood and six wind agitated natures  
རྩ་ཕྲན་	Capillary The smallest sub-division of blood vessels which connect the sub-branch veins and arteries. [e:Capillary The smallest sub-division of blood vessels which connect the sub-branch veins and arteries.  
རྩ་བ་ལྔ་	The five roots: ༼m1༽ ལྕ་བ -Bleurospermum Tibeticum ༼m2༽ ར་མཉེ -Polygonatum officinalis ༼m3༽ ཉེ་ཤིང - Asparagus Racemosus ༼m4༽ གཟེ་མ -Tribulus terristeris [e:The five roots:   ༼m1༽ ལྕ་བ -Bleurospermum Tibeticum   ༼m2༽ ར་མཉེ -Polygonatum officinalis   ༼m3༽ ཉེ་ཤིང - Asparagus Racemosus   ༼m4༽ གཟེ་མ -Tribulus terristeris   ༼m5༽ བ་སྤྲུ -Withania Somnifera  
རྩ་བའི་རླུང་ལྔ་	The five principle wind energy: ༼m1༽ སྲོག་འཛིན་རླུང -life sustaining wind (located at crown of the head) ༼m2༽ གྱེན་རྒྱུ་རླུང -upward moving wind (located at the thoracic region) ༼m3༽ ཁྱབ་བྱེད་རླུང -pervasive wind (located at the heart region) ༼m4༽ མེ་མཉམ་རླུང -fire-like wind (located at the stomach region); and [e:The five principle wind energy:   ༼m1༽ སྲོག་འཛིན་རླུང -life sustaining wind (located at crown of the head)   ༼m2༽ གྱེན་རྒྱུ་རླུང -upward moving wind (located at the thoracic region)   ༼m3༽ ཁྱབ་བྱེད་རླུང -pervasive wind (located at the heart region)   ༼m4༽ མེ་མཉམ་རླུང -fire-like wind (located at the stomach region); and   ༼m5༽ ཐུར་སེལ་རླུང -downward moving wind (located at the perineal region) རྩ་བའི་རོ་དྲུག The six root or fundamental tastes   ༼m1༽ མངར་བ -sweet   ༼m2༽ སྐྱུར་བ -sour   ༼m3༽ ལན་ཚ་བ -salty   ༼m4༽ ཀབ་བ -bitter   ༼m5༽ ཚ་བ -acrid; and   ༼m6༽ བཟཀའ་བ -astringent.  
རྩ་སྦྱོང་	Cleansing of the channels [e:Cleansing of the channels  
རྩ་དབུ་མ་	The central energy channel The central energy channel stands midway between the left and right channels and extends from the tip of the sex organ up to the top of the head from where it bends down in an arch and terminates between the eyebrows. These form at the heart, while the fetus is still in the womb. The essential drops [e:The central energy channel The central energy channel stands midway between the left and right channels and extends from the tip of the sex organ up to the top of the head from where it bends down in an arch and terminates between the eyebrows. These form at the heart, while the fetus is still in the womb. The essential drops ( ཐིག་ལེ ) pass through this energy channel. The sushumna nadi, located within the spinal cord, begins at the pelvic plexus and ends in the cerebro-spinal axis between the two hemispheres of the brain. The seven chakras are located along the sushumna nadi from the top of the head to the base of the spine  
རྩ་རླུང་ཐིག་ལེ་	Channels, Wind and Drops These are not only the principle life supporting substances of human body, but also the key means to attain enlightenment. The knowledge of རྩ། རླུང། and ཐིག་ལེ is a must for us to keep our mind, body and spirit in sound health as well as to understand our true nature. The Mother Tantra (མ་རྒྱུད) uses the metaphor of a wild horse for the vital breath and the rider for the mind. The wild horse is blind so it needs a guide, and the rider is lame so he/she needs help to be carried. They need each other in order to flow together through the paths of subtle channels ( རྩ ). The Internal Kalachakra [e:Channels, Wind and Drops These are not only the principle life supporting substances of human body, but also the key means to attain enlightenment. The knowledge of རྩ། རླུང། and ཐིག་ལེ is a must for us to keep our mind, body and spirit in sound health as well as to understand our true nature. The Mother Tantra (མ་རྒྱུད) uses the metaphor of a wild horse for the vital breath and the rider for the mind. The wild horse is blind so it needs a guide, and the rider is lame so he/she needs help to be carried. They need each other in order to flow together through the paths of subtle channels ( རྩ ). The Internal Kalachakra ( ནང་དུས་ཀྱི་ཁོར་ལོ ) uses the metaphor of a house for the channels, essential drops as the property and vital breath and mind as the owner. Therefore, these three fundamental interdependent components of our body can be utilized through proper Tibetan Yantra Yoga འཁྲུལ་ཁོར ), the 'Magical Wheel' practice to understand the ultimate nature of all phenomena. From this it is very clear that these three principle components of our body are the very basis of our consciousness to sustain and survival of our lives.  
རྩ་གསུམ་	The three channels It refers to subtle inner channels along which subtle wind and drops flow. ༼m1༽ Left channels ( རྐྱང་མ ) ༼m2༽ Right channels ( རོ་མ ) and [e:The three channels It refers to subtle inner channels along which subtle wind and drops flow.   ༼m1༽ Left channels ( རྐྱང་མ )   ༼m2༽ Right channels ( རོ་མ ) and   ༼m3༽ Central channels ( དབུ་མ )  
རྩང་པ་	Mountain lizard [e:Mountain lizard (Agama himalayana sacra smith)  
རྩད་	༼bot=༽ Pleurospermum sp. Uses: It treats all kinds of poisoning and subside fever arising from poisoning. [e:༼bot=༽ Pleurospermum sp. Uses: It treats all kinds of poisoning and subside fever arising from poisoning.  
རྩབས་	Yeast for fermenting curd [e:Yeast for fermenting curd  
རྩི་	Antidote or protection from the devil of death [e:Antidote or protection from the devil of death  
རྩི་སྨན་	Mucilaginous medicine A kind of medicine which produce effect because of the strength of their fragrance like Cinnamomum camphora ( ག་བུར )., and white sandal wood [e:Mucilaginous medicine A kind of medicine which produce effect because of the strength of their fragrance like Cinnamomum camphora ( ག་བུར )., and white sandal wood ( ཙན་དཀར ).  
རྩི་ཤིང་	Plants [e:Plants  
རྩིབ་མ་	Ribs [e:Ribs  
རྩིས་པ་	Astrologer Syn. དུས་ཤེས། བླ་མཁྱེན [e:Astrologer Syn. དུས་ཤེས། བླ་མཁྱེན  
རྩིས་རིག་	Science of calculation རྩིས་རིག་སྡེ་ཚན Astro. Department [e:Science of calculation རྩིས་རིག་སྡེ་ཚན Astro. Department  
རྩོད་ལྡན་གྱི་དུས་	Degenerating era [e:Degenerating era (༼lv=lit༽ quarrelsome period)  
བརྩེ་བ་	Love, affection [e:Love, affection  
བརྩོན་འགྲུས་	Diligence [e:Diligence  
བརྩོན་འགྲུས་ཀྱི་སྟོབས་	Power of diligence [e:Power of diligence  
ཚ་གྲང་	Hot and cold [e:Hot and cold  
ཚ་གྲང་གལ་མདོ་	Important approaches in distinguishing hot and cold disorders [e:Important approaches in distinguishing hot and cold disorders  
ཚ་ཆུ་	Urine which indicates hot disorder [e:Urine which indicates hot disorder (༼lv=lit༽ hot water)  
ཚ་བ་	 ༼m1༽ Hot disorders ༼m2༽ Acrid taste [e:  ༼m1༽ Hot disorders   ༼m2༽ Acrid taste   ༼m3༽ heat  
ཚ་བ་གསུམ་	A collective name for the following three hot: ༼m1༽ Piper longum L.- པི་པི་ལིང ༼m2༽ Piper nigrum L.- ཕོ་བ་རིས [e:A collective name for the following three hot:   ༼m1༽ Piper longum L.- པི་པི་ལིང   ༼m2༽ Piper nigrum L.- ཕོ་བ་རིས   ༼m3༽ Zingiber officinale Rosc- སྨན་སྒ  
ཚ་བ་མ་སྨིན་པ་	Immature fever or fever in its initial stage [e:Immature fever or fever in its initial stage  
ཚ་བ་ལ་འདས་	A fever which is beyond treatment [e:A fever which is beyond treatment  
ཚ་འབྲུམ་	Fever associated with Smallpox [e:Fever associated with Smallpox  
ཚ་ཚ་	Small clay images of Buddha and other holy dieties made from clay [e:Small clay images of Buddha and other holy dieties made from clay  
ཚ་ལ་	Scientific Name: Borax [e:Scientific Name: Borax Taste: Salty Potency: Slightly acrid Uses: It treats cuts and wounds, improves circulation of blood, dries up excess accumulation of serous fluid and is diuretic.  
ཚངས་པ་	Brahma [e:Brahma  
ཚངས་པའི་འཁོར་ལོ་	The wheel of Brahma [e:The wheel of Brahma  
ཚངས་པའི་ཐིག་	Vertical axis [e:Vertical axis (༼lv=lit༽ Brahma line)  
ཚད་འཁྲུ་	Cholera/Fever associated with diarrhoea and dysentary ཚད་འཁྲུའི་རྒྱུ་རྐྱེན Primary and secondary causes of tropical diarrhoea [e:Cholera/Fever associated with diarrhoea and dysentary ཚད་འཁྲུའི་རྒྱུ་རྐྱེན Primary and secondary causes of tropical diarrhoea  
ཚད་དགུང་	Noon heat [e:Noon heat  
ཚད་མེད་བཞི་	A four boundless practices (༼lv=lit༽ four immeasurables) ༼m1༽ སྙིང་རྗེ -(love) a thought that wishes all living beings attain happiness and the causes of happiness ༼m2༽ བྱམས་པ -(altuistic mind) an attitute, that wishes all living being be free from suffering ༼m3༽ དགའ་བ -(joy) rejoicing, when one sees other living beings, free from suffering and are not separated from happiness and the causes of happiness, [e:A four boundless practices (༼lv=lit༽ four immeasurables)   ༼m1༽ སྙིང་རྗེ -(love) a thought that wishes all living beings attain happiness and the causes of happiness   ༼m2༽ བྱམས་པ -(altuistic mind) an attitute, that wishes all living being be free from suffering   ༼m3༽ དགའ་བ -(joy) rejoicing, when one sees other living beings, free from suffering and are not separated from happiness and the causes of happiness,   ༼m4༽ བཏང་སྙོནཇས -(equanimity) a sense of equanimity to all living beings irrespective of casts, colours, sex and free from attachment and hatred  
ཚར་བོང་	༼bot=༽ Artemisia Desertorum Spreng [e:༼bot=༽ Artemisia Desertorum Spreng Taste: Bitter to hot Potency: Neutral Uses: It treats throat infection, lung diseases, pharyngitis and relieves swelling due to hot disorder.  
ཚར་ལེབ་	༼bot=༽ Coloneaster microphyllus agg. [e:༼bot=༽ Coloneaster microphyllus agg. Taste: Sweet, sour and astringent Potency: Neutral Uses: Its fruit is used to treat excessive menstrual flow, whereas its leaves are useful in curing gynaecological problems and controlling bleeding.  
ཚིག་རྩུབ་	Verbal abuse, harsh words [e:Verbal abuse, harsh words  
ཚིལ་	Fats, fatty tissues [e:Fats, fatty tissues (one of the seven bodily constituents)  
ཚུར་དཀར་	Latin Name: Alumitum [e:Latin Name: Alumitum (Alum) Uses: It has medicinal value to treat bad oral odour and disorders associated with bones.  
ཚུར་ནག་	Black fibroferitum [e:Black fibroferitum  
ཚེ་སྒྲུབ་	Rituals to attain longevity [e:Rituals to attain longevity  
ཚེ་དཔག་མེད་	Amitayus [e:Amitayus (༼lv=lit༽ infinite life span)  
ཚེ་དབང་	Empowerment of longevity [e:Empowerment of longevity  
ཚེ་ཚད་	Life-span [e:Life-span  
ཚེ་སྲོག་བླ་གསུམ་	Life span, life force and spirit [e:Life span, life force and spirit (the three basic faculties of our life)  
ཚེ་བསླུ་	Ransom of the longevity [e:Ransom of the longevity  
ཚེ་ལྷ་རྣམ་གསུམ་	The three longevity deities ༼m1༽ ཚེ་དཔག་མེད -Amitayus ༼m2༽ དྲོལ་ཀར -White Tara [e:The three longevity deities   ༼m1༽ ཚེ་དཔག་མེད -Amitayus   ༼m2༽ དྲོལ་ཀར -White Tara   ༼m3༽ ནམ་གྱལ་མ -Vijaya  
ཚེ་ལྷག་	Remaining hfe span [e:Remaining hfe span  
ཚེའི་རྩ་	Channels of life; life channels [e:Channels of life; life channels  
ཚེར་སྔོན་	༼en=༽ Blue poppy, Queen of Himalayan Flowers ༼bot=༽ Meconopsis horridula Hook f. et Thorns). It has two kinds: ༼m1༽ Meconopsis aculeata (found in Manali, India) [e:༼en=༽ Blue poppy, Queen of Himalayan Flowers ༼bot=༽ Meconopsis horridula Hook f. et Thorns). It has two kinds:   ༼m1༽ Meconopsis aculeata (found in Manali, India)   ༼m2༽ Meconopsis horridula (found in Tibet) Uses: Both have medicinal value to subside bone fever, heal fractured bones, cranial wounds and sores and relieve severe pain in the ribs and upper part of the body.  
ཚེས་ཆད་ལྷག་	Doubled and skipped days in Tibetan Lunar calendar [e:Doubled and skipped days in Tibetan Lunar calendar  
ཚེས་ཞག་	Lunar day [e:Lunar day  
ཚེས་ཟླ་	Lunar Months Lunar month is the time period of completion of waxing and wanning of the moon in [e:Lunar Months Lunar month is the time period of completion of waxing and wanning of the moon in   ༼m30༽ days.  
ཚོགས་གཉིས་	Dual accumulation: ༼m1༽ སོད་ནམས་ཀྱི་ཚོགས -accumulation of merits [e:Dual accumulation:   ༼m1༽ སོད་ནམས་ཀྱི་ཚོགས -accumulation of merits   ༼m2༽ ཡེ་ཤེས་ཀྱི་ཚོགས -accumulation of insights ཚོགས་ལམ Path of accumulation  
ཚོགས་གསོག་པ་	To accumulate merit and pristine cognition [e:To accumulate merit and pristine cognition  
